feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,prediction
-2.8485,-0.3624,-1.2947,1.1488,0.0768,0.3465,-0.4677,1.5008,-1.1197,-0.4281,-0.4938,0.7717,-1.283,-0.0469,0.477,-1.5566,0.9963,-1.7397,0.8502,1.1608,3.028927411904936
-0.5512,-0.1702,0.6964,-0.8182,-0.7168,1.4775,0.0884,-1.0242,-0.4532,0.6308,-0.1217,0.7784,-1.8665,-1.1417,-0.1937,1.5134,-0.0827,-0.0034,1.8541,0.9553,-4.807315887977217
1.4093,-0.4455,1.5796,2.2989,-1.0041,-0.2818,-0.4202,0.9843,1.4534,-0.9984,0.2342,-0.5173,-0.7678,-1.3445,-0.9187,1.5505,-0.0347,-0.3628,-0.214,-0.5229,4.997873193327391
0.7871,0.9634,0.8221,1.1586,-0.0771,-0.7537,-0.2454,-0.2647,0.4128,1.4535,0.8272,-0.9747,0.3412,-0.8895,-0.8158,0.013,0.2767,-0.8207,2.7202,1.8968,-1.0470208497377582
-0.2036,-0.6493,0.0341,-0.5817,-1.9937,-1.5559,0.2338,-0.705,-1.2239,0.419,-1.2096,-0.3791,0.3741,0.3309,0.8335,1.6726,1.2277,-1.0148,-0.0558,-0.77,-18.828146395731245
-0.4294,0.0489,-0.702,0.1223,-0.7184,1.7496,-1.4026,-0.8353,0.0406,0.279,1.2477,0.1252,0.8949,-1.2439,-0.6929,-0.6735,-0.2949,0.5433,2.1451,-0.6629,-10.675723251181575
0.003,0.9496,-2.5539,0.4369,0.5415,-0.2248,-1.3669,-1.4789,-1.4849,0.3918,-2.591,0.1606,0.7592,-1.1701,-1.802,-0.5462,-0.5765,1.1906,0.1834,0.9343,-0.808090103025919
0.6748,0.1665,0.2892,-1.1227,-0.6374,-0.531,-0.6377,-0.5522,0.4925,0.4714,-0.5707,-0.0495,1.189,-0.6231,-0.5555,-0.8324,1.4205,0.3824,0.6329,2.4553,6.581544807296806
-0.0607,-1.8031,0.2671,-0.7084,1.6122,0.895,-1.5812,-0.2111,-1.5841,-0.7192,-0.8912,1.9012,0.8968,-0.4831,0.1468,-2.1518,-0.2685,-1.5137,-0.9872,0.5087,17.704342029834862
-1.3353,0.5598,0.8339,0.3802,0.2716,-1.661,-0.0702,0.0283,1.0808,0.6815,1.0532,0.1777,-1.2767,0.4296,0.2077,-0.0396,-1.0811,0.6106,0.0298,0.4592,-2.3538285724270667
-1.5157,-0.6128,0.2859,1.5475,-1.3793,2.0102,0.6585,-0.0164,-0.3877,0.2238,1.7946,0.2029,-0.7309,-0.1769,-0.7983,-0.5176,-0.0331,1.7959,1.1884,0.3345,-3.967259772127339
0.6621,2.133,-0.1518,1.586,-0.5894,-0.6227,0.281,0.8129,-1.9521,0.3073,-0.6929,0.1135,0.8496,-0.2081,-0.493,0.8996,0.357,-1.2378,0.6296,0.5883,14.72116507341921
1.3757,-0.1731,-1.0963,-0.1501,-0.639,-0.847,1.5945,0.9818,0.0156,2.2524,1.0098,-0.2976,-1.3231,-0.9914,-2.1534,-0.6882,1.642,0.1256,-0.3248,-1.4401,-39.94449415104247
0.7421,-0.2461,2.1709,0.0754,-0.6226,0.5515,0.1232,-0.4293,-0.8432,-0.037,-1.32,1.64,0.1946,0.0436,1.6951,-0.6118,-0.7425,-1.602,-0.6924,-0.1759,30.19152096847644
-0.0595,-0.2526,1.6324,-3.2413,1.1632,0.1307,-0.44,0.0698,-1.2478,-0.6002,0.4621,-0.9269,0.0102,1.4413,-1.4359,0.1991,-0.9815,-1.0244,-0.3853,-1.4301,-29.523485319504587
-0.5309,0.6819,0.5839,-0.4894,1.0667,1.1087,0.5907,1.2065,1.8467,0.1467,0.6487,2.5269,1.1693,0.8205,0.5073,-0.1671,1.3822,1.0442,-0.8169,-0.3593,50.14797923010308
-1.1297,-2.4716,0.5771,0.5298,1.1678,-0.604,0.3711,0.3945,-0.7969,-0.4326,-0.4119,0.8357,0.2544,0.0866,-0.1557,-0.4876,0.3376,1.4416,-0.421,-0.203,-1.6891560622026818
-0.1525,-0.786,-1.8362,0.7081,-0.0061,-2.1529,-1.1034,0.2674,-1.3312,-0.2903,-0.0989,0.1335,0.8385,0.3886,2.493,0.9191,0.0818,0.9567,0.3217,0.508,-5.85058634365463
-0.4153,0.1819,-0.4594,0.6328,0.479,-0.8561,0.8303,-0.4443,0.2482,-0.9788,-0.51,0.3385,0.3337,0.0716,-0.4777,-0.2699,1.0375,2.2707,0.3773,-0.8498,10.520888333302297
0.4255,-0.0036,1.5034,-0.967,-0.2472,0.0269,-0.221,-0.5712,-1.1584,0.6408,-0.2811,0.7858,-0.682,0.2084,-2.0417,1.7977,-1.0016,-0.0477,0.5726,0.8774,-13.803741049623152
