feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
-0.5737,1.7275,0.0380,-0.0244,0.3992,-1.0228,0.6135,0.2245,0.4363,-1.4644,1.5740,0.5228,0.6472,-0.2574,-1.6686,-1.2258,-0.4832,2.1423,1.0471,0.1200,224.2014
-1.1291,-1.2221,-0.2403,-0.5245,-1.0811,0.4443,0.7110,0.9240,0.7130,-1.2511,-0.3095,0.7217,0.6159,-0.3610,1.1593,0.3261,0.5931,0.4894,-0.1849,-0.3748,6.4997
1.9094,-0.6506,-0.5924,-1.3986,-0.2389,-0.8310,0.0485,0.0993,-0.4871,-0.9776,0.7554,0.9262,-0.9076,0.2705,-0.0502,0.5009,-0.5768,0.5630,0.7514,-0.8640,-286.5524
1.3071,0.2599,-1.2370,-1.6075,-0.6800,0.2970,0.5219,-1.1913,0.7818,0.4738,-0.7144,0.2275,0.2323,0.2505,0.3464,1.8658,0.2931,0.1846,0.6566,-1.3205,-56.7245
2.2909,1.0226,1.3843,-1.3896,0.1042,0.8534,0.5948,-0.9886,2.4398,-0.0983,-0.2807,-2.4994,-0.0626,0.7589,0.2812,-1.6930,-0.7540,-1.6454,-1.1036,0.5639,301.0405
-0.1383,-0.2342,1.5792,0.6477,0.2420,0.5426,-0.4695,-0.9080,-0.2341,0.3142,-0.5623,0.4967,-1.9133,-0.4634,-0.4657,-1.0128,-1.7249,1.5230,-1.4123,0.7674,-57.4867
-0.0327,-1.3045,0.3666,-2.0674,-0.9857,-1.0592,-0.5139,-0.5536,0.6697,-1.0352,-0.7929,0.3841,0.5040,-0.0627,0.9551,-0.1070,-0.5303,-0.0891,-1.1979,-0.9399,-243.4262
-0.1147,-1.2003,-0.4749,0.5050,2.1222,0.4050,1.7655,0.4438,-0.3345,-0.7077,-0.4842,-0.7925,1.0325,-1.2609,0.9179,1.2669,-1.5194,0.8658,0.7746,-0.6533,174.2946
-1.8818,0.1599,1.2657,-0.5487,-1.1936,0.4272,0.9695,0.2887,-1.0277,-0.2500,-0.6706,-0.1285,0.9192,-0.6462,1.7753,1.3925,1.0006,0.0928,0.2603,-0.8662,-71.1086
0.5434,-0.7633,-1.6275,-0.6626,-0.0661,-0.9043,0.2597,1.0063,-1.8049,-0.3846,0.0474,-1.6694,-1.2110,0.6386,-1.6615,-0.8604,-0.6518,0.5706,-0.5769,0.0481,-506.9271
1.3292,-0.0897,-0.6764,0.1965,0.8406,-1.4308,-0.0402,-1.5839,1.4401,-2.4239,-1.8895,0.6427,-0.6526,0.1281,-0.6811,-0.4523,-0.4462,0.7090,0.7604,1.8009,286.4447
0.9246,0.6982,0.8952,0.0596,2.0753,-0.5352,1.0496,-0.3203,0.3935,-0.4839,0.1979,1.3994,-0.6892,1.3174,0.1976,-0.6514,1.7360,-0.6469,0.4242,0.6352,402.5200
0.5952,-1.0060,1.1581,-0.8182,0.0758,0.6283,0.6241,0.4129,-1.2142,-0.3214,-0.1471,0.0970,-0.6772,-0.0122,-0.8973,-0.8255,0.9751,2.0924,-0.5637,0.7917,-140.4488
-0.5160,-0.4345,0.2221,0.0961,1.4470,-0.8946,1.2558,0.0823,-0.3092,0.8896,-1.4856,0.9383,0.1966,-0.1869,-0.4397,0.2671,1.0318,-0.4623,1.0655,-0.4787,73.9905
-0.2258,-0.5444,-1.1510,0.0675,-0.0135,-0.2917,-0.6006,-1.3282,0.1109,-1.9597,-1.2208,1.4656,-1.0577,-0.6017,1.8523,0.2089,0.8225,-1.4247,0.1969,0.3757,14.9685
-1.2796,0.5177,0.1868,-0.6248,-0.9759,-1.4067,-0.6115,-0.8584,-0.7257,0.1848,2.6324,-1.8409,1.0536,-0.9232,-1.3517,0.4933,-0.9494,0.0261,0.7003,-0.7554,-359.3873
-0.3338,-0.1073,-1.5709,1.1731,0.6381,0.1429,-1.1939,-0.1681,0.4477,-0.6208,-0.5427,0.6970,0.5008,1.7325,2.2313,-0.7878,-1.8011,0.3696,-0.4721,-1.1268,129.9301
-0.4206,-0.1613,1.8862,-0.3427,0.0602,-0.0744,0.2576,1.1428,0.4041,-1.1687,0.3015,-1.4154,2.4632,-1.9188,-0.0265,-0.0347,-0.1924,-0.8023,0.7519,0.1746,147.3953
-0.2595,-0.9354,-0.5360,0.7388,-0.0194,1.8382,0.3673,0.9503,1.0860,-1.0678,-1.6163,0.5131,-0.3032,-0.2235,-0.3493,-1.0537,0.7999,0.6154,1.7106,0.8081,188.4092
1.4122,-1.0624,-0.1871,-0.0796,0.1944,2.5896,1.1874,-1.0065,0.4283,1.3176,-0.2954,0.0242,-0.3532,0.5796,0.3258,0.1685,0.3385,0.4524,1.1399,0.9857,212.6050
0.7479,2.0741,-2.5303,-1.0727,-0.4653,1.9583,1.1010,1.0858,-0.9194,0.4677,-1.5030,-1.9793,-0.1059,-1.2295,0.4967,0.2537,2.6443,0.2392,0.0980,-0.2860,24.8322
-1.4383,1.8733,-0.4473,0.9192,-0.6435,0.8528,0.0679,2.0625,1.0800,0.4236,-0.4036,0.1133,1.0300,0.4847,-0.8464,-0.9551,-0.3348,-0.6681,-1.0675,1.2810,403.3162
0.8108,1.3043,1.0325,0.7935,-0.3080,-0.4108,-1.0910,-1.6834,-1.6625,-0.2092,1.3957,-0.1343,0.7797,-1.1057,-0.2149,-0.5622,1.3103,-1.7485,-0.8059,1.1267,19.6877
-1.7102,0.1709,0.0184,-1.3482,0.4083,-0.7783,-0.5398,1.6655,-0.1840,0.9827,0.4726,0.3078,-1.7026,0.1958,-0.9784,0.2560,1.0292,0.7433,1.0144,0.3476,-189.5748
-0.4879,0.7421,1.3017,2.1573,2.0134,-0.7534,0.0320,1.2004,0.2993,-0.9716,0.1847,0.6779,0.1365,0.4600,-0.6777,-1.3471,-0.3653,-0.6057,-0.6569,1.5615,456.2882
0.2437,-0.4710,-1.4481,0.2450,0.8577,-0.2134,-0.7184,0.3227,0.2320,-0.2887,-1.0025,-0.8222,-0.1599,0.3109,1.4754,-0.0185,-0.0190,-0.5069,-0.8272,-1.4075,-100.8449
2.0754,1.2012,-2.0381,0.8711,0.3269,-0.3515,-1.8708,-1.4786,-0.4081,0.7709,-2.2111,0.2898,-0.2191,0.0184,1.6764,0.2356,0.8294,-0.3260,1.1438,-1.0081,-9.8981
